geometry_id,density,seed,mask_variant,method,status,output_path,error,parameters,common_f1,common_precision,common_recall,fragment_recovery_rate,pixel_recovery_rate,representation_dependent_pixel_recovery_rate
cov20/synth_0016,20,20262817,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0016\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.6323529411764707,0.6142857142857143,0.6515151515151515,0.7083333333333334,0.5416666666666666,0.5416666666666666
cov20/synth_0017,20,20262818,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0017\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.21493624772313297,0.12447257383966245,0.7866666666666666,0.3,0.0,0.0
cov20/synth_0017,20,20262818,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0017\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.7301587301587301,0.9019607843137255,0.6133333333333333,0.6,0.0,0.0
cov20/synth_0017,20,20262818,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0017\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.8783783783783784,0.8904109589041096,0.8666666666666667,0.9,0.7,0.7
cov20/synth_0018,20,20262819,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0018\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.13171839515518546,0.07084690553745929,0.9354838709677419,0.4,0.0,0.0
cov20/synth_0018,20,20262819,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0018\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8351648351648352,0.8539325842696629,0.8172043010752689,0.7333333333333333,0.0,0.0
cov20/synth_0018,20,20262819,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0018\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7540983606557377,0.7666666666666667,0.7419354838709677,0.7333333333333333,0.4838709677419355,0.4838709677419355
cov20/synth_0019,20,20262820,1,baseline_cc,ok,output\locked_evaluation\outputs\cov20\synth_0019\1\baseline_cc__19eabb03d824.tif,,"{""min_area"": 1}",0.25742574257425743,0.15384615384615385,0.7878787878787878,0.2,0.0,0.0
cov20/synth_0019,20,20262820,1,baseline_skeleton,ok,output\locked_evaluation\outputs\cov20\synth_0019\1\baseline_skeleton__285b5bcfa0e4.tif,,"{""max_gap_px"": 28.0, ""max_turn_deg"": 20.0}",0.8062015503875969,0.8253968253968254,0.7878787878787878,0.75,0.0,0.0
cov20/synth_0019,20,20262820,1,filaseg,ok,C:\Repos\filaments_quantification\output\locked_evaluation\filaseg\cov20\synth_0019\1\filaseg\final\mask_w1_reconnect_multilabel.npz,,"{""filaseg_mode"": ""run""}",0.7681159420289856,0.7361111111111112,0.803030303030303,0.7,0.7,0.7
