"set","mask_variant","cov","density","scene","status","error","f1","precision","recall","fragment_recovery_recovery_rate","adjusted_rand_index","vi_split_bits","vi_merge_bits","vi_total_bits","n_common_fragments","n_gt_groups","n_pred_groups"
"testcmp10","degraded","cov50","50","synth_0007","ok","","0.8183745583038868","0.8253741981468282","0.8114926419060967","0.7096774193548387","0.8145725561194942","0.33905490942385685","0.29209912069295135","0.6311540301168082","372","62","67"
"testcmp10","degraded","cov50","50","synth_0008","ok","","0.7528971962616822","0.7388114453411592","0.7675304878048781","0.6865671641791045","0.7484169216730702","0.4169533166525845","0.39594772773478026","0.8129010443873648","388","67","73"
"testcmp10","degraded","cov50","50","synth_0009","ok","","0.7396176664469347","0.7818815331010452","0.701688555347092","0.6612903225806451","0.7344826070269614","0.5271415287304042","0.37686227453086385","0.9040038032612681","396","62","70"
"testcmp10","degraded","cov60","60","synth_0000","ok","","0.7460140897293289","0.759531898829747","0.7329690346083789","0.6404494382022472","0.742248066295347","0.5330677795022101","0.4888383540011648","1.021906133503375","608","89","91"
"testcmp10","degraded","cov60","60","synth_0001","ok","","0.7404096834264432","0.7711404189294027","0.7120343839541547","0.5909090909090909","0.7368146421384547","0.5546134550257293","0.45448192711947794","1.0090953821452073","627","88","94"
"testcmp10","degraded","cov60","60","synth_0002","ok","","0.8019340355724399","0.8304721030042919","0.7752921535893156","0.7325581395348837","0.7992480170650353","0.4055558809942791","0.32705688353295115","0.7326127645272302","658","86","90"
"testcmp10","degraded","cov60","60","synth_0003","ok","","0.8281573498964802","0.8830022075055187","0.7797270955165692","0.7291666666666666","0.8262684699181385","0.3247253556057325","0.1589837849299562","0.4837091405356887","298","96","110"
"testcmp10","degraded","cov60","60","synth_0004","ok","","0.7528849980103461","0.7703583061889251","0.7361867704280156","0.6629213483146067","0.749222718683171","0.47821734894506013","0.44636516294030926","0.9245825118853694","587","89","91"
"testcmp10","degraded","cov60","60","synth_0005","ok","","0.7015457788347206","0.6971248523040567","0.7060231352213802","0.5684210526315789","0.6974086985505675","0.5158657062830602","0.5583364956386074","1.0742022019216675","608","95","90"
"testcmp10","degraded","cov60","60","synth_0006","ok","","0.8039521580863235","0.8227780734433209","0.7859684799186578","0.7184466019417476","0.8016500612177225","0.37003639230423124","0.33856444919022755","0.7086008414944588","576","103","103"
"testcmp10","degraded","cov60","60","synth_0007","ok","","0.7088255733148019","0.7428987618353969","0.6777408637873754","0.6","0.7049651866409868","0.5030948418327538","0.4011870432092127","0.9042818850419665","469","95","102"
